,Channel,Compound,Date,Negative,Neutral,Positive,Text,Tweet Ago
330,@FoxNews,0.0,Mon Mar 12 23:18:47 +0000 2018,0.0,1.0,0.0,"Austin PD Chief Brian Manley on response to package explosions: ""There is a level of attention and a level of invol… https://t.co/5rRsPyk7aO",31
331,@FoxNews,0.4215,Mon Mar 12 23:03:05 +0000 2018,0.0,0.877,0.123,"""[Pope Francis] lives the faith. He bears witness with his life, not just with his words."" Cardinal Donald Wuerl sp… https://t.co/6cQduozgul",32
332,@FoxNews,0.3182,Mon Mar 12 22:44:33 +0000 2018,0.0,0.845,0.155,'It Was Important That I Defend Faith': @VP Pence Responds to @JoyVBehar in #Hannity Exclusive.  Tune in to full in… https://t.co/EBZq5lU9rR,33
333,@FoxNews,-0.1027,Mon Mar 12 22:24:41 +0000 2018,0.085,0.915,0.0,.@DonaldJTrumpJr Rips 'Pretend Conservative' Dem in PA Election: He'll 'Start Working for Chuck and Nancy' https://t.co/lRPhKaxqWv,34
334,@FoxNews,0.0,Mon Mar 12 22:20:08 +0000 2018,0.0,1.0,0.0,".@ConawayTX11: ""We believe we've got the information necessary to answer [Russian meddling questions] for the Ameri… https://t.co/M0N9WvsDSG",35
335,@FoxNews,0.4019,Mon Mar 12 22:14:47 +0000 2018,0.0,0.856,0.144,".@ConawayTX11: ""Yes, the Russians tried to interfere with our election process. Yes, they had cyberattacks...We cou… https://t.co/Lo1YCx3SNF",36
336,@FoxNews,-0.296,Mon Mar 12 22:04:18 +0000 2018,0.128,0.872,0.0,"House Intel finds 'no evidence of collusion' between Trump campaign and Russia - via @brookefoxnews @ChadPergram
https://t.co/RjBGsJc3L0",37
337,@FoxNews,-0.296,Mon Mar 12 22:03:55 +0000 2018,0.136,0.864,0.0,BREAKING: GOP-led House Intel finds no evidence of collusion between #Trump campaign and Russia https://t.co/RjBGsJc3L0,38
338,@FoxNews,0.8689,Mon Mar 12 21:55:41 +0000 2018,0.0,0.57,0.43,"Possible Justice Kennedy retirement would give Trump opportunity to tilt Supreme Court to right - @brookefoxnews
https://t.co/5JLhnAsJeH",39
339,@FoxNews,0.4939,Mon Mar 12 21:53:41 +0000 2018,0.0,0.802,0.198,.@kimguilfoyle: “Why wouldn’t you want to be welcoming to police?...They’re the ones putting their lives on the lin… https://t.co/JeZDE3W8Ah,40
340,@FoxNews,0.0772,Mon Mar 12 21:49:48 +0000 2018,0.124,0.691,0.184,WATCH: @VP Mike Pence​ talks to @seanhannity  about @JoyVBehar​'s apology for mocking his Christian faith. Tune in… https://t.co/DLSQpVvadD,41
341,@FoxNews,0.5859,Mon Mar 12 21:47:11 +0000 2018,0.0,0.703,0.297,Judge rules $560M Powerball jackpot winner can remain anonymous https://t.co/Wqfik0Znal,42
342,@FoxNews,0.4404,Mon Mar 12 21:37:50 +0000 2018,0.0,0.805,0.195,.@KidRock to be inducted into @WWE Hall of Fame during WrestleMania weekend https://t.co/vi9bcpB36i,43
343,@FoxNews,0.4019,Mon Mar 12 21:24:25 +0000 2018,0.0,0.722,0.278,Reports of active shooter at Florida business https://t.co/usrIHkGoIF,44
344,@FoxNews,0.6597,Mon Mar 12 21:06:24 +0000 2018,0.0,0.671,0.329,'In God We Trust' Posters to Be Displayed in Arkansas Public Schools https://t.co/j1Z6rFvhCA,45
345,@FoxNews,0.0,Mon Mar 12 21:00:06 +0000 2018,0.0,1.0,0.0,".@FredFleitz: ""During the #Obama administration, North Korea and Iran knew force was not on the table and that allo… https://t.co/7iMBZSYb2B",46
346,@FoxNews,-0.7096,Mon Mar 12 20:46:17 +0000 2018,0.371,0.629,0.0,SXSW: Scientists tout 'pen' technology that detects cancer in 20 seconds https://t.co/zgcAkF5SsF,47
347,@FoxNews,0.0,Mon Mar 12 20:39:33 +0000 2018,0.0,1.0,0.0,".@GOPChairwoman: ""If we turn [the House] over to @NancyPelosi, we'll be turning back the clock and going back to th… https://t.co/bL5mV6ZGEM",48
348,@FoxNews,0.3182,Mon Mar 12 20:33:56 +0000 2018,0.0,0.867,0.133,".@RepLeeZeldin: “The federal government is responsible for setting the immigration policies. So, what you’re seeing… https://t.co/6y4oCQWTAG",49
349,@FoxNews,0.4754,Mon Mar 12 20:25:55 +0000 2018,0.0,0.866,0.134,"Austin PD Chief Brian Manley: “These are very powerful devices, and that’s why, again, it is so imperative that no… https://t.co/aUw5j1ayQR",50
350,@FoxNews,0.8689,Mon Mar 12 20:25:13 +0000 2018,0.0,0.588,0.412,"Possible Justice Kennedy retirement would give Trump opportunity to tilt Supreme Court to right - via @brookefoxnews
https://t.co/5JLhnAsJeH",51
351,@FoxNews,0.4404,Mon Mar 12 20:20:54 +0000 2018,0.0,0.843,0.157,Austin PD Chief Brian Manley: “We want to ensure this community that we’re going to do everything we can to keep yo… https://t.co/cT4IyObdKQ,52
352,@FoxNews,0.2263,Mon Mar 12 20:14:37 +0000 2018,0.0,0.917,0.083,RT @FoxBusiness: #BreakingNews: Nasdaq closes at new record high for the second straight day. The Dow Jones Industrial Average and S&amp;P 500…,53
353,@FoxNews,0.0,Mon Mar 12 20:13:34 +0000 2018,0.0,1.0,0.0,Austin PD Chief Brian Manley: “We do not believe that this package here today was left by any of the official mail… https://t.co/MNejrEm1if,54
354,@FoxNews,-0.3182,Mon Mar 12 20:07:27 +0000 2018,0.099,0.901,0.0,Austin PD Chief Brian Manley: “We do not know yet whether the victims are the intended targets on these cases. Agai… https://t.co/wExh5eeyrE,55
355,@FoxNews,-0.0572,Mon Mar 12 20:01:34 +0000 2018,0.064,0.936,0.0,"Official: “We do not have a specific victimology or ideology that we have identified, so assigning a motive to this… https://t.co/olHEXPRenK",56
356,@FoxNews,0.0,Mon Mar 12 19:57:20 +0000 2018,0.0,1.0,0.0,"Official: “This, again, is the third in what we believe to be related incidents that have occurred over the past 10… https://t.co/kkfCKuoVX3",57
357,@FoxNews,-0.2732,Mon Mar 12 19:54:40 +0000 2018,0.1,0.9,0.0,"Official: “The victim in this incident came outside of her residence and found a package out front, and she picked… https://t.co/XHunBoFKWO",58
358,@FoxNews,0.0,Mon Mar 12 19:19:40 +0000 2018,0.0,1.0,0.0,.@PressSec: “@POTUS will travel to Peru and Colombia next month. This will mark the president’s first trip to Latin… https://t.co/F1ug6AI1tl,59
359,@FoxNews,0.6369,Mon Mar 12 19:17:39 +0000 2018,0.0,0.743,0.257,.@PressSec: “@POTUS is supporting legislation and reforms to strengthen the background check system and law enforce… https://t.co/YJh1JvKPE8,60
360,@FoxNews,0.8658,Mon Mar 12 19:15:57 +0000 2018,0.0,0.584,0.416,".@PressSec: “We will ensure our schools are safe and secured just like our airports, stadiums, and government build… https://t.co/rRarZSXOC6",61
361,@FoxNews,0.0,Mon Mar 12 19:07:16 +0000 2018,0.0,1.0,0.0,.@PressSec Sarah Sanders holds a press briefing at the @WhiteHouse https://t.co/vdFAkP1DZz,62
362,@FoxNews,0.0,Mon Mar 12 18:55:00 +0000 2018,0.0,1.0,0.0,TUNE IN: @VP Mike Pence sits down for an interview with @SeanHannity TONIGHT at 9p ET on Fox News Channel. https://t.co/6ZTXfrt9wq,63
363,@FoxNews,0.0,Mon Mar 12 18:50:49 +0000 2018,0.0,1.0,0.0,.@RepPeteKing : House Intel Committee Wants to Know When Dossier Was Shown to @BarackObama  #AmericasNewsroom  https://t.co/Qoft1PAiWS,64
364,@FoxNews,-0.6124,Mon Mar 12 18:36:57 +0000 2018,0.309,0.551,0.14,"Beloved pastor's wife killed, minister beaten in North Carolina home invasion and arson https://t.co/PxPzCg6H1g (via @christocarbone)",65
365,@FoxNews,-0.836,Mon Mar 12 18:20:00 +0000 2018,0.406,0.594,0.0,"Austin package explosions leave teen dead, women hurt after three blasts in 2 weeks (via @travfed)  https://t.co/4SETsq1cos",66
366,@FoxNews,0.0,Mon Mar 12 18:12:13 +0000 2018,0.0,1.0,0.0,".@POTUS posed for photographs after Houston @Astros' Josh Reddick, right, presented him with a jersey during a cere… https://t.co/N8Aw2fdn26",67
367,@FoxNews,-0.296,Mon Mar 12 17:52:50 +0000 2018,0.099,0.901,0.0,"RT @VP: Joined @SeanHannity for an interview about North Korea, Trump Tax Cuts, the American economy &amp; jobs, the Administration’s prioritie…",68
368,@FoxNews,0.0,Mon Mar 12 17:49:10 +0000 2018,0.0,1.0,0.0,College student kicked out of class for telling professor there are only two genders (via @calebparke) https://t.co/eZ2ovmWFMc,69
369,@FoxNews,-0.4767,Mon Mar 12 17:39:38 +0000 2018,0.147,0.853,0.0,Breaking News: Third explosion badly injures elderly woman in Texas city already rocked by pair of deadly blasts https://t.co/FMretQpIyO,70
370,@FoxNews,0.6369,Mon Mar 12 17:18:00 +0000 2018,0.0,0.769,0.231,.@Eminem slams @NRA in iHeartRadio performance: 'They love their guns more than our children' https://t.co/Tm7ocap80e,71
371,@FoxNews,0.0,Mon Mar 12 17:00:07 +0000 2018,0.0,1.0,0.0,Video appears to show final moments before helicopter crashed into NYC's East River https://t.co/JW1SUzHUpC,72
372,@FoxNews,0.25,Mon Mar 12 16:58:54 +0000 2018,0.143,0.655,0.202,RT @FoxBusiness: Florida shooting victim’s father praises Trump’s gun control measures https://t.co/dxElIJ66oq https://t.co/OLh5XOa65V,73
373,@FoxNews,0.836,Mon Mar 12 16:58:26 +0000 2018,0.0,0.622,0.378,"RT @FoxBusiness: .@POTUS to @astros: ""You have great fans. Texas is an amazing place."" https://t.co/reigBNlGMf",74
374,@FoxNews,0.0,Mon Mar 12 16:57:27 +0000 2018,0.0,1.0,0.0,#MarchMadness 2018 schedule and what to know https://t.co/nQhSgL864m,75
375,@FoxNews,0.8176,Mon Mar 12 16:55:55 +0000 2018,0.0,0.615,0.385,"The team you trust. The network you love.

And we’re just getting started... https://t.co/TbMRErfijj",76
376,@FoxNews,0.4404,Mon Mar 12 16:50:34 +0000 2018,0.0,0.791,0.209,.@POTUS: “The Astros victory for the ages was truly a team effort.” https://t.co/HHSCyabooi,77
377,@FoxNews,0.0,Mon Mar 12 16:49:22 +0000 2018,0.0,1.0,0.0,.@POTUS on areas impacted by hurricanes: “Our administration will continue to stand by the people of Texas and Flor… https://t.co/elxw7rmEtH,78
378,@FoxNews,0.0,Mon Mar 12 16:41:32 +0000 2018,0.0,1.0,0.0,.@POTUS to all Houston @Astros players and staff: “Congratulations on your incredible victory.” https://t.co/FkFeHhGRkF,79
379,@FoxNews,0.0,Mon Mar 12 16:38:59 +0000 2018,0.0,1.0,0.0,Stormy Daniels offers to return $130G to Trump in exchange for being able to speak about alleged encounter - via… https://t.co/z1UQOqFXm1,80
380,@FoxNews,0.5267,Mon Mar 12 16:35:36 +0000 2018,0.0,0.815,0.185,"Happening NOW: @POTUS hosts the 2017 World Series Champions, the Houston @Astros, at the @WhiteHouse https://t.co/8L4g97TgYe",81
381,@FoxNews,0.5267,Mon Mar 12 16:32:09 +0000 2018,0.0,0.805,0.195,"President @realDonaldTrump hosts the 2017 World Series Champions, the Houston @astros at the @WhiteHouse https://t.co/PyE7bu4KJl",82
382,@FoxNews,0.4215,Mon Mar 12 16:26:24 +0000 2018,0.0,0.843,0.157,.@BetsyDeVosED: “We’re going to advance ways in which schools can be made safer for students.” https://t.co/7bHcOdx1pW,83
383,@FoxNews,0.4019,Mon Mar 12 16:13:39 +0000 2018,0.0,0.787,0.213,Pennsylvania special House election pits Conor Lamb against Rick Saccone https://t.co/A5317QYyJD,84
384,@FoxNews,0.0,Mon Mar 12 15:57:51 +0000 2018,0.0,1.0,0.0,"JUST IN: Pair of deadly Austin package explosions linked, officials say https://t.co/FMretQpIyO",85
385,@FoxNews,0.6369,Mon Mar 12 15:47:22 +0000 2018,0.0,0.769,0.231,Eminem slams NRA in iHeartRadio performance: 'They love their guns more than our children' https://t.co/Tm7ocap80e,86
386,@FoxNews,0.34,Mon Mar 12 15:43:17 +0000 2018,0.0,0.745,0.255,.@NikkiHaley speaks at a @UN Security Council meeting https://t.co/CPAAQwr2Pd,87
387,@FoxNews,-0.5106,Mon Mar 12 15:32:26 +0000 2018,0.171,0.829,0.0,.@SadiqKhan: 'Dereliction of duty' by policy makers for failing to regulate big tech https://t.co/kW3gJOJjiu #FNTech (via @christocarbone),88
388,@FoxNews,0.0,Mon Mar 12 15:25:00 +0000 2018,0.0,1.0,0.0,.@POTUS: Efforts to raise minimum age for buying long guns 'moving rapidly' https://t.co/GRv4xEppYi,89
389,@FoxNews,0.0,Mon Mar 12 15:13:48 +0000 2018,0.0,1.0,0.0,".@Theonlyhonest: “The president’s language, his denigration of the media, it’s beneath the office."" https://t.co/fq7UF78cMd",90
390,@FoxNews,0.0,Mon Mar 12 15:10:29 +0000 2018,0.0,1.0,0.0,"Hubert de Givenchy, famed French couturier, dies at 91 https://t.co/zw0jhgiNsc",91
391,@FoxNews,-0.8271,Mon Mar 12 15:05:00 +0000 2018,0.372,0.628,0.0,"Austin package explosion leaves teen dead, woman hurt after second blast in two weeks https://t.co/AnlNDKBZ7j",92
392,@FoxNews,0.0,Mon Mar 12 15:00:03 +0000 2018,0.0,1.0,0.0,TUNE IN: @VP Mike Pence sits down for an interview with @SeanHannity TONIGHT at 9p ET on Fox News Channel. https://t.co/Q3Nmewrrdj,93
393,@FoxNews,0.3612,Mon Mar 12 14:47:15 +0000 2018,0.138,0.629,0.233,".@CLewandowski_: “Donald Trump won the election, and there was no collusion.” https://t.co/ZajUY2ibu7",94
394,@FoxNews,0.34,Mon Mar 12 14:39:55 +0000 2018,0.0,0.854,0.146,".@CLewandowski_ on @POTUS agreeing to meet with Kim Jong Un: “I think it’s bold."" https://t.co/qvLDbeB4K2",95
395,@FoxNews,0.25,Mon Mar 12 14:29:24 +0000 2018,0.093,0.698,0.209,"Pressure grows for Joy Behar to apologize over anti-Christian comments, but ABC is silent https://t.co/kj9iMEW4r3",96
396,@FoxNews,0.0,Mon Mar 12 14:27:47 +0000 2018,0.0,1.0,0.0,Report: Liberal Student Orgs Get 20x More Funding Than Conservative Groups at UW-Madison https://t.co/KQ4Yo6guLB,97
397,@FoxNews,0.0,Mon Mar 12 14:25:46 +0000 2018,0.0,1.0,0.0,"RT @FoxBusiness: .@POTUS handled North Korea situation correctly, @GOPLeader says https://t.co/rh7D1gmYiY https://t.co/9tY5KPJlNH",98
398,@FoxNews,0.2023,Mon Mar 12 14:21:26 +0000 2018,0.0,0.833,0.167,Homeless encampment discovered on top of California Amtrak station https://t.co/EVPNENM1Y0,99
399,@FoxNews,0.0,Mon Mar 12 14:10:27 +0000 2018,0.0,1.0,0.0,John Sununu on Trump-Kim Jong Un summit: “The timing is always right for such a meeting.” https://t.co/oXwE5jEHEL,100
400,@NYTimes,0.0,Tue Mar 13 03:17:06 +0000 2018,0.0,1.0,0.0,"RT @nytopinion: The story of the rise of Peter Navarro, the president’s trade czar, tells you a lot about the nature of the Trump administr…",1
401,@NYTimes,0.0,Tue Mar 13 03:02:06 +0000 2018,0.0,1.0,0.0,Before there was Rosa Parks there was Viola Desmond. Now Canada is putting her on its currency. https://t.co/8wn9FG94UW,2
